start,end,words,type
00:11.9,00:23.8,SQL语言，首先我们看一下SQL是哪三个？英文单词的缩写,过渡
00:25.3,00:33.2,那个 s代表结构化结构化，这个是查询是吧？结构化的查询，,其他
00:34.6,00:38.8,为什么把数据库的语言叫做查询语言？呢,交互
00:39.3,00:45.2,唉我们说数据库的操作我们有查询和更新，对不对？唉有查处查询，,其他
00:45.2,00:53.7,但是我们主要的抄写应该是查询，所以我们有时候把数据库原理叫做查询，,其他
00:53.7,01:08.2,但实际上这个语言体系它包含的功能除了查询以外，还有数据的更新，还有数据的定义，还有数据的控制权限的控制作用，,其他
01:08.5,01:19.1,这个盐呢我们说它是一种标准，所谓的标准就是说所有的关系数据库软件都应该支持这个，,其他
01:19.6,01:28.8,比如说我们上级用的麦斯口是关系数据库软件，嘛他就自己可以还有像我们也是给大家看excess，,其他
01:30.1,01:34.6,像奥尔克斯科斯曼他都支持这个公司，,其他
01:35.1,01:45.4,但是不同的软件，他有可能在这个语言的功能上面它有所补充，有些区别，啊,其他
01:48.2,01:58.4,但是最基本的在这个标准里面，啊我们总说法啊说这个啊三流企业做什么？二流企业，一流企业就是做标准，啊,其他
02:00.5,02:27.8,那么关于这个SQL，呢大家看文书上有一个亮点，啊一个标准，,过渡
02:08.0,02:18.0,嗯它也经历了啊不同的这样一个版本，吧啊一定要,其他
02:18.1,02:23.4,在过去在过去的教材，里边呃用的比较多的是92，,其他
02:25.6,02:39.9,我们这个应该是他在这个基础上应该都啊，有时候你看后面一些表里边，它都交到了2011啊,其他
02:42.1,02:48.2,好资格语言的这个可以这个语言的特点我们要给大家介绍一下。,过渡
02:49.7,03:04.7,第一，这个数据库语言我刚才说了，它有对数据库里的数据查询、更新、定义、啊疾控，所以我们说它是一个首先第一个特点就是综合统一的功能，对吧？,其他
03:04.8,03:12.5,唉它里面有进行定义的，数据定义的语言一定要有，但是数据定义，语言啊,其他
03:12.9,03:20.7,唉数据操作、数据控制、语言CS控制，,其他
03:21.3,03:29.5,包括这么一些个功能，啊包括建立数据库，啊啊建立这个关系，,其他
03:30.3,03:34.2,建立视图、啊插入数据啊等等，,其他
03:34.5,03:38.4,查询啊更新啊数据库的重构，啊安全性啊嵌入式思考。,其他
03:43.1,03:48.0,好，这是他的第一个特点，啊就是综合统一很多个功能。,过渡
03:48.9,03:53.7,第二个就要高度的非过程化。,过渡
03:54.4,04:02.2,还记得我们前面讲三大经典模型的时候，因为这个语言是关系模型，关系数据库的,其他
04:03.1,04:08.6,标准语言，就是说他用到的数据模型是关系模型，,其他
04:08.6,04:12.7,那么前面我们介绍过层次模型和网络模型,其他
04:12.8,04:20.6,这两种模型，是非过呃是过程化的是吧？是非关系模型，是过程化的，,其他
04:22.0,04:35.4,而关系模型呢通过的话，它的它的推动也就是说在这个语句里边，我们只是写出你要做什么，,其他
04:37.1,04:47.4,而与具体的固定路径没有关系，那你就不用啊不用管怎么做，这个对用户是透明的。,其他
04:54.0,04:56.1,好。第三个特点，,过渡
04:56.4,05:05.3,它既然是关系数据库的标准语言，我们说关系数据库它的数据的呈现形式是什么？,交互
05:06.5,05:12.6,大家都上去了，就是二维表嘛就是关系嘛二维表是原主的及格，吧,其他
05:13.0,05:22.9,所以这个语言是面向集合的操作方式和那个关系电视，关系代数操作对象,其他
05:25.3,05:26.9,是原组的集合。,其他
05:27.3,05:29.5,好，第4个特点，,过渡
05:29.8,05:34.6,这个 SQL语言呢它的使用方式，,其他
05:35.0,05:45.7,他说有多种使用方式，这里我们嗯两种使用方式，两种使用方式，一种是这种语言可以独立的使用，,其他
05:46.2,05:54.2,啊你像我们这个方面的专业人员，我们就用数据库语言来通过这个啊数据库软件，,其他
05:54.7,06:04.0,我们直接和数据库打交道进行操作，我们上机已经上过了，对不对？是不是可以独立使用，吧,交互
06:04.8,06:10.5,还有一种使用方式就是可以把它嵌入到高级语言，比如说c语言，,其他
06:11.0,06:15.3,我们后面的章节要讲到编程的作用，,其他
06:16.6,06:24.1,那么像c语言Java或者call这些啊高级语言里面，这些高级语言我们称为主语，,其他
06:25.1,06:28.5,把这个语句嵌入到里边，怎么嵌入？后面要给大家讲。,交互
06:28.5,06:40.9,啊大家回想一下，你像c语言里边，,交互
06:42.5,06:44.9,他有没有对数据库进行操作的语句？稍微就是三种，一个,交互
06:45.9,06:55.4,顺序的是吧？去结构循环的对吧？选择结构，没有对数据库操作的语句，吧,其他
06:55.5,06:59.8,比如说在数据库里面插入数据，没有是不是？,交互
07:00.6,07:03.4,那么当你要开发一个应用程序的时候，,交互
07:06.4,07:19.2,你要处理数据，那么问题用高精源去处理对不对？但是有的时候你牵涉到要在库里边把数据提取出来，再用c语言去处理是不是啊，嗯,其他
07:19.3,07:24.8,那么你这个从库里面提取出来，或者是把数据处理完了，要放进库里面，那这个,其他
07:24.9,07:41.2,你必须得有数据库语言去啊要把这个思维语句要切入到高度，去做这方面的工作，对它的使用方式迁迁入的。,其他
07:41.8,07:46.0,好，最后一个特点，这个语言简洁，啊,过渡
07:47.6,07:56.5,什么叫简洁？呢我们说社科语言它在写的时候，我们写语句时候已经上机用过了，,交互
07:56.7,08:02.5,他的所有的语句都是以动词开头，关机的时候是这样，,其他
08:02.8,08:10.3,比如说create什么什么，因此一起拍的有点类似于我们英文里边的什么？,其他
08:10.7,08:17.4,其实语句就是别说。Let's go是吧？那个控制开口。,其他
08:17.6,08:31.1,那么它所用到的这个标准语言的原题所用到的动词总共就是这么多，在这个表里面不多9个，啊,其他
08:31.5,08:34.1,所以它年啊那个不是不是,其他
08:36.4,08:50.8,查询的这个动词是，然后数据定义的我们上期用的就是你要在库里边要定义一个表，就是创建一个表对不对？唉你要定义这个表的结构创建表结构，,其他
08:50.8,08:57.1,创建一个表是创建它的结构，然后再往里面数数据，对吧？我们也可以,其他
08:57.3,09:01.9,你如果说要删除掉这个表的结构，在这个库里面，我们用照,其他
09:02.3,09:04.8,这个大家上去可以去试的，啊,交互
09:05.0,09:12.4,然后你要修改这个表的结构，用r好数据操纵数据操纵,其他
09:12.7,09:30.0,表的结构有了，我们要插入数据，insert into这个我上去做过，吧嗯修改一个数据用啊对，因为用这个啊删除这个我们后面讲的时候，大家可以相应的去上去试，啊,其他
09:30.8,09:39.0,然后呢这个语句里面还有关于这个权限控制的，对这个种植对啊这个是授权的，,其他
09:39.2,09:54.0,啊因为默克斯撤销权权送给某用户比如说送给哪个用户，对什么数据库的什么表进行查询操作，授权不让授权，你也可以收回的，,其他
09:54.7,10:09.2,那么你授予这个权限，当然有管理员去授予，退这个权限以后啊你才可能对那个表去做查询，你不能做其他操作，但是我们上机的时候，我我们都是什么都可以做，是不是？,其他
10:09.8,10:19.5,没有对前线真正在开发是必要的，控制起来不是随便什么，,其他
10:24.5,10:45.1,所以我们这一章里面很多这个例题，啊我我都建议大家上今天时间都可以再上去试一下，做一下，这样更深的去体会对吧？唉我们有一句话叫做什么？实践是解决真理的标准是吧？你做的怎么样呢，,交互
10:50.7,11:05.7,好，我们书上有一个这样的图，啊这个图就是把我们思考它和我们前面讲的三级模式结构把它对应起来，啊,过渡
11:06.4,11:12.1,那么这个 C口就标定了，他也支持，,其他
11:12.1,11:17.1,比如说对应y模式，在我们这个语言里面我们是4~6次，,其他
11:19.7,11:27.3,试图是呃它是一种呃应用程序或者用户他所关心的局部的数据，,其他
11:28.6,11:33.0,比如说我对学生表，我是看他的学号和信用是吧？,交互
11:33.5,11:35.3,唉那么我们可以做一个事，,交互
11:37.8,11:46.0,然后基本表呢它是呃这个数据库里面所有数据啊反正所有数据逻辑结构，,其他
11:49.3,11:55.2,另外对于类模式，呢我们有这个呃存储文件，啊,过渡
11:55.9,12:02.4,这个存储文件呢可以是比如说一个啊一个表，定一个存储文件，,其他
12:02.6,12:14.5,啊也可以是一个比较大的存储文件，它对应几个几个表，这个要看我们所用的数据库吗？对。嗯他们去。,其他
12:25.0,12:34.6,好，这个地方呢是我们在这章里边，我们也要用到这三个关系模式，就是我们对应到我们52页三个,过渡
12:35.2,12:43.1,三个关系模式，这写的是模式啊关系的名和它所包括的属性，这个是它的变属性，,其他
12:44.2,12:52.8,学生关系、课程关系和选课关系，这三个关系是我们例子里面常用的。,其他
